37.504232,-113.197021
37.504232,-113.143880
37.446330,-113.143880
37.446330,-113.090780
37.373861,-113.090780
37.373861,-113.056966
37.393188,-113.027995
37.393188,-112.999023
37.369059,-112.999023
37.369059,-112.902425
37.267660,-112.897624
37.253133,-112.863810
37.151733,-112.863810
37.142090,-112.897624
37.142090,-112.970052
37.166219,-112.970052
37.166219,-113.013509
37.171061,-113.013509
37.171061,-113.090780
37.200033,-113.090780
37.200033,-113.110107
37.335246,-113.110107
37.373861,-113.124593
37.373861,-113.197021
37.402873,-113.216309
37.451131,-113.216309
